百视通8M,#genre#
CCTV1 8M,http://angtv.cn/test/bestv.php?id=cctv1hd8m/8000000
CCTV2 8M,http://angtv.cn/test/bestv.php?id=cctv2hd8m/8000000
CCTV3 8M,http://angtv.cn/test/bestv.php?id=cctv38m/8000000
CCTV4 8M,http://angtv.cn/test/bestv.php?id=cctv4hd8m/8000000
CCTV5 8M,http://angtv.cn/test/bestv.php?id=cctv58m/8000000
CCTV5+ 8M,http://angtv.cn/test/bestv.php?id=cctv5phd8m/8000000
CCTV6 8M,http://angtv.cn/test/bestv.php?id=cctv6hd8m/8000000
CCTV7 8M,http://angtv.cn/test/bestv.php?id=cctv7hd8m/8000000
CCTV8 8M,http://angtv.cn/test/bestv.php?id=cctv8hd8m/8000000
CCTV9 8M,http://angtv.cn/test/bestv.php?id=cctv9hd8m/8000000
CCTV10 8M,http://angtv.cn/test/bestv.php?id=cctv10hd8m/8000000
CCTV11 8M,http://angtv.cn/test/bestv.php?id=cctv11hd8m/8000000
CCTV12 8M,http://angtv.cn/test/bestv.php?id=cctv12hd8m/8000000
CCTV13 8M,http://angtv.cn/test/bestv.php?id=cctv13xwhd8m/8000000
CCTV14 8M,http://angtv.cn/test/bestv.php?id=cctvsehd8m/8000000
CCTV15 8M,http://angtv.cn/test/bestv.php?id=cctv15hd8m/8000000
CCTV16 8M,http://angtv.cn/test/bestv.php?id=cctv16hd8m/8000000
CCTV17 8M,http://angtv.cn/test/bestv.php?id=cctv17hd8m/8000000
CCTV16-4K,http://angtv.cn/test/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,http://angtv.cn/test/bestv.php?id=cctv4k/15000000
欢笑剧场4k,http://angtv.cn/test/bestv.php?id=hxjc4k/15000000
江苏卫视 8M,http://angtv.cn/test/bestv.php?id=jswshd8m/8000000
广西卫视 8M,http://angtv.cn/test/bestv.php?id=gxwshd8m/8000000
四川卫视 8M,http://angtv.cn/test/bestv.php?id=scwshd/8000000
湖南卫视 8M,http://angtv.cn/test/bestv.php?id=hunanwshd8m/8000000
浙江卫视 8M,http://angtv.cn/test/bestv.php?id=zjwshd8m/8000000
东方卫视 8M,http://angtv.cn/test/bestv.php?id=dfwshd8m/8000000
北京卫视 8M,http://angtv.cn/test/bestv.php?id=bjwshd8m/8000000
天津卫视 8M,http://angtv.cn/test/bestv.php?id=tjwshd8m/8000000
辽宁卫视 8M,http://angtv.cn/test/bestv.php?id=lnwshd8m/8000000
安徽卫视 8M,http://angtv.cn/test/bestv.php?id=ahwshd8m/8000000
黑龙江卫视 8M,http://angtv.cn/test/bestv.php?id=hljwshd8m/8000000
广东卫视 8M,http://angtv.cn/test/bestv.php?id=gdwshd8m/8000000
深圳卫视 8M,http://angtv.cn/test/bestv.php?id=szwshd8m/8000000
湖北卫视 8M,http://angtv.cn/test/bestv.php?id=hubeiws8m/8000000
吉林卫视 8M,http://angtv.cn/test/bestv.php?id=jlwshd8m/8000000
山东卫视 8M,http://angtv.cn/test/bestv.php?id=sdws8m/8000000
江西卫视 8M,http://angtv.cn/test/bestv.php?id=jxws8m/8000000
河南卫视 8M,http://angtv.cn/test/bestv.php?id=hnwshd8m/8000000
河北卫视 8M,http://angtv.cn/test/bestv.php?id=hbwshd8m/8000000
甘肃卫视 8M,http://angtv.cn/test/bestv.php?id=gswshd8m/8000000
重庆卫视 8M,http://angtv.cn/test/bestv.php?id=cqws8m/8000000
东南卫视 8M,http://angtv.cn/test/bestv.php?id=dnwshd8m/8000000
云南卫视 8M,http://angtv.cn/test/bestv.php?id=ynwshd8m/8000000
贵州卫视 8M,http://angtv.cn/test/bestv.php?id=gzwshd8m/8000000
海南卫视 8M,http://angtv.cn/test/bestv.php?id=hainanwshd8m/8000000
三沙卫视 8M,http://angtv.cn/test/bestv.php?id=sswshd8m/8000000
欢笑剧场 8M,http://angtv.cn/test/bestv.php?id=hxjc8m/8000000
劲爆体育 8M,http://angtv.cn/test/bestv.php?id=jbtyhd8m/8000000
快乐垂钓 8M,http://angtv.cn/test/bestv.php?id=klcd8m/8000000
金鹰纪实 8M,http://angtv.cn/test/bestv.php?id=jyjs8m/8000000
戏曲精选 8M,http://angtv.cn/test/bestv.php?id=xqjx8m/8000000
上海第一财经 8M,http://angtv.cn/test/bestv.php?id=dycjhd8m/8000000
上视新闻 8M,http://angtv.cn/test/bestv.php?id=xwzhhd8m/8000000
上海都市 8M,http://angtv.cn/test/bestv.php?id=dshd8m/8000000
上海纪实 8M,http://angtv.cn/test/bestv.php?id=jspdhd/4000000
东方财经 8M,http://angtv.cn/test/bestv.php?id=dfcjhd8m/8000000
东方影视 8M,http://angtv.cn/test/bestv.php?id=dfyshd8m/8000000
东方购物 8M,http://angtv.cn/test/bestv.php?id=dfgwsxhd8m/8000000
五星体育 8M,http://angtv.cn/test/bestv.php?id=wxtyhd8m/8000000
上视外语 8M,http://angtv.cn/test/bestv.php?id=icshd8m/8000000
七彩戏剧 8M,http://angtv.cn/test/bestv.php?id=qcxjhd8m/8000000
上海教育 8M,http://angtv.cn/test/bestv.php?id=setvhd/8000000
全纪实 8M,http://angtv.cn/test/bestv.php?id=qjshd8m/8000000
生活时尚 8M,http://angtv.cn/test/bestv.php?id=shss8m/8000000
新视觉 8M,http://angtv.cn/test/bestv.php?id=xsjhd8m/8000000
游戏风云 8M,http://angtv.cn/test/bestv.php?id=yxfy8m/8000000
热门综艺 8M,http://angtv.cn/test/bestv.php?id=rmzy8m/8000000
超级体育 8M,http://angtv.cn/test/bestv.php?id=qcsj8m/8000000
健康养生 8M,http://angtv.cn/test/bestv.php?id=jkys8m/8000000
百变课堂 8M,http://angtv.cn/test/bestv.php?id=bbkt8m/8000000
看天下精选 8M,http://angtv.cn/test/bestv.php?id=ktxjx8m/8000000
华语影院 8M,http://angtv.cn/test/bestv.php?id=hyyy8m/8000000
电竞天堂 8M,http://angtv.cn/test/bestv.php?id=djtt8m/8000000
青春动漫 8M,http://angtv.cn/test/bestv.php?id=qcdm8m/8000000
宝宝动画 8M,http://angtv.cn/test/bestv.php?id=bbdh8m/8000000
星光影院 8M,http://angtv.cn/test/bestv.php?id=xgyy8m/8000000
谍战剧场 8M,http://angtv.cn/test/bestv.php?id=dzjc8m/8000000
全球大片 8M,http://angtv.cn/test/bestv.php?id=qqdp8m/8000000
热门剧场 8M,http://angtv.cn/test/bestv.php?id=rmjc8m/8000000
陶瓷高清 8M,http://angtv.cn/test/bestv.php?id=taocihd/8000000
东方财经 8M,http://angtv.cn/test/bestv.php?id=dfcjhd8m/8000000
中国教育-1 8M,http://angtv.cn/test/bestv.php?id=zgjy1t8m/8000000
中国教育-4 8M,http://angtv.cn/test/bestv.php?id=zgjy4hd8m/8000000
卡酷少儿 8M,http://angtv.cn/test/bestv.php?id=kkse8m/8000000
纪实科教 8M,http://angtv.cn/test/bestv.php?id=dajs8m/8000000
茶频道 8M,http://angtv.cn/test/bestv.php?id=cpdhdavs8m/8000000
足球高清 8M,http://angtv.cn/test/bestv.php?id=zqpd8m/8000000
炫动卡通 8M,http://angtv.cn/test/bestv.php?id=hhxd8m/8000000
都市剧场 8M,http://angtv.cn/test/bestv.php?id=dsjc8m/8000000
动漫秀场 8M,http://angtv.cn/test/bestv.php?id=dmxc8m/8000000
法治天地 8M,http://angtv.cn/test/bestv.php?id=fztd8m/8000000
金色学堂 8M,http://angtv.cn/test/bestv.php?id=jingsepd8m/8000000
魅力足球 8M,http://angtv.cn/test/bestv.php?id=mlyyhd8m/8000000
福建综合 8M,http://angtv.cn/test/bestv.php?id=fjzhhd4m/4000000
福建新闻 8M,http://angtv.cn/test/bestv.php?id=fjxwhd8m/8000000
福建电视剧8M,http://angtv.cn/test/bestv.php?id=fjdsjhd4m/4000000
福建经济 8M,http://angtv.cn/test/bestv.php?id=fjjjshhd4m/4000000
福建文体 8M,http://angtv.cn/test/bestv.php?id=fjtyhd4m/4000000
福建少儿 8M,http://angtv.cn/test/bestv.php?id=fjsehd4m/4000000
福建旅游 8M,http://angtv.cn/test/bestv.php?id=fjlyhd4m/4000000
福建公共 8M,http://angtv.cn/test/bestv.php?id=fjgghd4m/4000000
福建教育 8M,http://angtv.cn/test/bestv.php?id=fjjypdhd4m/4000000
海峡卫视 8M,http://angtv.cn/test/bestv.php?id=hxwshd4m/4000000
重庆有线,#genre#
CCTV1综合高清,http://angtv.cn/live/cbn.php?id=cctv1HD
CCTV2财经高清,http://angtv.cn/live/cbn.php?id=cctv2HD
CCTV3综艺高清,http://angtv.cn/live/cbn.php?id=cctv3HD
CCTV4中文国际高清,http://angtv.cn/live/cbn.php?id=cctv4HD
CCTV5体育高清,http://angtv.cn/live/cbn.php?id=cctv5HD
CCTV5+高清,http://angtv.cn/live/cbn.php?id=cctv5SportHD
CCTV6电影高清,http://angtv.cn/live/cbn.php?id=cctv6HD
CCTV7国防军事高清,http://angtv.cn/live/cbn.php?id=cctv7HD
CCTV8电视剧高清,http://angtv.cn/live/cbn.php?id=cctv8HD
CCTV9纪录高清,http://angtv.cn/live/cbn.php?id=cctv9HD
CCTV10科教高清,http://angtv.cn/live/cbn.php?id=cctv10HD
CCTV11戏曲高清,http://angtv.cn/live/cbn.php?id=cctv11HD
CCTV12社会与法高清,http://angtv.cn/live/cbn.php?id=cctv12HD
CCTV13新闻高清,http://angtv.cn/live/cbn.php?id=CCTVNewsHD
CCTV14少儿高清,http://angtv.cn/live/cbn.php?id=cctvseHD
CCTV15音乐高清,http://angtv.cn/live/cbn.php?id=cctv15HD
CCTV16奥林匹克高清,http://angtv.cn/live/cbn.php?id=cctv16HD
CCTV17农业农村高清,http://angtv.cn/live/cbn.php?id=cctv17HD
欢笑剧场4K,http://angtv.cn/live/cbn.php?id=hxjc_4K
CCTV-4K,http://angtv.cn/live/cbn.php?id=CCTV4K
CCTV16-4K,http://angtv.cn/live/cbn.php?id=CCTV16_4K
重庆卫视高清,http://angtv.cn/live/cbn.php?id=chongqingHD
江苏卫视高清,http://angtv.cn/live/cbn.php?id=jiangsuHD
北京卫视高清,http://angtv.cn/live/cbn.php?id=beijingHD
浙江卫视高清,http://angtv.cn/live/cbn.php?id=zhejiangHD
东方卫视高清,http://angtv.cn/live/cbn.php?id=shanghaiHD
深圳卫视高清,http://angtv.cn/live/cbn.php?id=shenzhenHD
辽宁卫视高清,http://angtv.cn/live/cbn.php?id=liaoningHD
天津卫视高清,http://angtv.cn/live/cbn.php?id=tianjinHD
贵州卫视高清,http://angtv.cn/live/cbn.php?id=guizhouHD
四川卫视高清,http://angtv.cn/live/cbn.php?id=sichuanHD
云南卫视高清,http://angtv.cn/live/cbn.php?id=yunnanSD
东南卫视高清,http://angtv.cn/live/cbn.php?id=dongnanHD
黑龙江卫视高清,http://angtv.cn/live/cbn.php?id=heilongjiangHD
安徽卫视高清,http://angtv.cn/live/cbn.php?id=anhuiSD
河北卫视高清,http://angtv.cn/live/cbn.php?id=hebeiSD
江西卫视高清,http://angtv.cn/live/cbn.php?id=jiangxiHD
湖北卫视高清,http://angtv.cn/live/cbn.php?id=hubeiSD
海南卫视高清,http://angtv.cn/live/cbn.php?id=hainanSD
吉林卫视高清,http://angtv.cn/live/cbn.php?id=jilinHD
广西卫视高清,http://angtv.cn/live/cbn.php?id=guangxiHD
内蒙古卫视,http://angtv.cn/live/cbn.php?id=neimengkuSD
湖南卫视高清,http://angtv.cn/live/cbn.php?id=hunanHD
广东卫视高清,http://angtv.cn/live/cbn.php?id=guangdongHD
河南卫视高清,http://angtv.cn/live/cbn.php?id=henanHD
山西卫视,http://angtv.cn/live/cbn.php?id=shanxiSD
兵团卫视,http://angtv.cn/live/cbn.php?id=bingtuanSD
宁夏卫视,http://angtv.cn/live/cbn.php?id=ningxia
北京卡酷少儿,http://angtv.cn/live/cbn.php?id=bjkakuSD
金鹰卡通高清,http://angtv.cn/live/cbn.php?id=jinyingSD
三沙卫视,http://angtv.cn/live/cbn.php?id=sanshaSD
青海卫视,http://angtv.cn/live/cbn.php?id=qinghaiSD
中国天气,http://angtv.cn/live/cbn.php?id=tianqiSD
北京纪实科教高清,http://angtv.cn/live/cbn.php?id=bjayjsSD
山东教育卫视,http://angtv.cn/live/cbn.php?id=sdjiaoyuSD
新疆卫视,http://angtv.cn/live/cbn.php?id=xinjiangSD
西藏卫视,http://angtv.cn/live/cbn.php?id=xizangSD
CGTN,http://angtv.cn/live/cbn.php?id=cgtnSD
CETV-1,http://angtv.cn/live/cbn.php?id=cetv-1SD
CETV-4,http://angtv.cn/live/cbn.php?id=cetv-4SD
生活时尚,http://angtv.cn/live/cbn.php?id=shenghuo
百姓健康,http://angtv.cn/live/cbn.php?id=jiankangSD
快乐垂钓高清,http://angtv.cn/live/cbn.php?id=klcdHD
第一剧场高清,http://angtv.cn/live/cbn.php?id=diyijuchangHD
都市剧场高清,http://angtv.cn/live/cbn.php?id=dsjcHD
动漫秀场高清,http://angtv.cn/live/cbn.php?id=dmxcHD
魅力足球高清,http://angtv.cn/live/cbn.php?id=mlzqHD
风云剧场高清,http://angtv.cn/live/cbn.php?id=fyjcHD
求索纪录高清,http://angtv.cn/live/cbn.php?id=qsjlHD
兵器科技高清,http://angtv.cn/live/cbn.php?id=bqkjHD
游戏风云高清,http://angtv.cn/live/cbn.php?id=yxfyHD
怀旧剧场高清,http://angtv.cn/live/cbn.php?id=hjjcHD
风云音乐高清,http://angtv.cn/live/cbn.php?id=fyyyHD
央视台球高清,http://angtv.cn/live/cbn.php?id=ystqHD
风云足球高清,http://angtv.cn/live/cbn.php?id=fyzqHD
央视文化精品高清,http://angtv.cn/live/cbn.php?id=yswhHD
高尔夫网球高清,http://angtv.cn/live/cbn.php?id=golfHD
早期教育高清,http://angtv.cn/live/cbn.php?id=zaojiaoHD
重庆新闻高清,http://angtv.cn/live/cbn.php?id=CQTVNewsHD
重庆影视高清,http://angtv.cn/live/cbn.php?id=cqyingshiHD
重庆社会与法高清,http://angtv.cn/live/cbn.php?id=CQTVTrendyHD
重庆时尚生活高清,http://angtv.cn/live/cbn.php?id=cqssgwHD
重庆文体娱乐高清,http://angtv.cn/live/cbn.php?id=cqwtylHD
重庆新农村高清,http://angtv.cn/live/cbn.php?id=cqggncHD
重庆少儿高清,http://angtv.cn/live/cbn.php?id=cqseHD
重庆科教高清,http://angtv.cn/live/cbn.php?id=CQTVkejiaoHD
爱看导视高清,http://angtv.cn/live/cbn.php?id=aikanHD
重庆汽摩高清,http://angtv.cn/live/cbn.php?id=cqcarSD
重庆移动高清,http://angtv.cn/live/cbn.php?id=mryyHD
重广融媒,http://angtv.cn/live/cbn.php?id=cqrongmei
优购物,http://angtv.cn/live/cbn.php?id=yougouwu
家家购物,http://angtv.cn/live/cbn.php?id=jjgw
风尚购物,http://angtv.cn/live/cbn.php?id=fsgw
聚鲨环球精选,http://angtv.cn/live/cbn.php?id=jusha
中视购物,http://angtv.cn/live/cbn.php?id=ysgw
家有购物,http://angtv.cn/live/cbn.php?id=jygw
央广购物,http://angtv.cn/live/cbn.php?id=yggw
东方财经高清,http://angtv.cn/live/cbn.php?id=dfcj
证券服务,http://angtv.cn/live/cbn.php?id=jiazheng
书画,http://angtv.cn/live/cbn.php?id=shuhua
新动漫,http://angtv.cn/live/cbn.php?id=dongman
国学频道,http://angtv.cn/live/cbn.php?id=guoxue
优优宝贝,http://angtv.cn/live/cbn.php?id=youxi
中华特产,http://angtv.cn/live/cbn.php?id=techan
环球奇观,http://angtv.cn/live/cbn.php?id=car
生态环境,http://angtv.cn/live/cbn.php?id=shengtai
四海钓鱼,http://angtv.cn/live/cbn.php?id=diaoyu
发现之旅,http://angtv.cn/live/cbn.php?id=faxian
车迷,http://angtv.cn/live/cbn.php?id=doxtv
法治天地,http://angtv.cn/live/cbn.php?id=fazhi
金色学堂,http://angtv.cn/live/cbn.php?id=jinse
收藏天下,http://angtv.cn/live/cbn.php?id=soucang
财富天下,http://angtv.cn/live/cbn.php?id=caifu
女性时尚,http://angtv.cn/live/cbn.php?id=nvxing
中学生,http://angtv.cn/live/cbn.php?id=qicai
天元围棋,http://angtv.cn/live/cbn.php?id=weiqi
先锋乒羽,http://angtv.cn/live/cbn.php?id=xianfeng
环球旅游,http://angtv.cn/live/cbn.php?id=huanqiulvyou
老故事,http://angtv.cn/live/cbn.php?id=gushi
摄影频道,http://angtv.cn/live/cbn.php?id=sheying
靓妆,http://angtv.cn/live/cbn.php?id=liang
广东谷豆,#genre#
